policy,domain,structure,label,tp,fp,fn,precision,recall,f1
minimal,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
minimal,Chats,regular,PER,22,0,1,1.000000,0.956522,0.977778
minimal,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
minimal,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,PER,17,0,1,1.000000,0.944444,0.971429
minimal,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,Chats,unstructured,PER,25,0,1,1.000000,0.961538,0.980392
minimal,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,regular,PER,1,0,2,1.000000,0.333333,0.500000
minimal,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,structured,PER,4,0,1,1.000000,0.800000,0.888889
minimal,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,unstructured,PER,3,0,3,1.000000,0.500000,0.666667
minimal,E-Mail,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,PER,3,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,E_MAIL,3,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,PER,3,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,regular,PER,4,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,Verträge,regular,PER,7,0,5,1.000000,0.583333,0.736842
minimal,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
minimal,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
minimal,Verträge,structured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,Verträge,unstructured,PER,5,0,1,1.000000,0.833333,0.909091
minimal,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
