policy,label,tp,fp,fn,precision,recall,f1
secure,DATUM,72,0,0,1.000000,1.000000,1.000000
secure,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,LOC,46,2,0,0.958333,1.000000,0.978723
secure,ORG,50,7,2,0.877193,0.961538,0.917431
secure,PER,123,0,0,1.000000,1.000000,1.000000
secure,PLZ,21,1,0,0.954545,1.000000,0.976744
secure,STRASSE,22,0,0,1.000000,1.000000,1.000000
secure,TELEFON,20,0,0,1.000000,1.000000,1.000000
secure,URL,11,0,0,1.000000,1.000000,1.000000
