policy,domain,label,tp,fp,fn,precision,recall,f1
minimal,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
minimal,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,Chats,PER,63,0,3,1.000000,0.954545,0.976744
minimal,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,E-Mail,PER,8,0,6,1.000000,0.571429,0.727273
minimal,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,PER,8,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,PER,10,0,0,1.000000,1.000000,1.000000
minimal,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,Verträge,PER,18,0,6,1.000000,0.750000,0.857143
minimal,Verträge,STRASSE,13,0,1,1.000000,0.928571,0.962963
